Pupil Name,Date of Birth,This Year's Birthday,Cake Needed On,Month,BDs per Weekday and Month
Merrily Altamirano,18/03/2013,18/03/2022,Friday,March,31
Bartholemy Rattrie,24/02/2013,24/02/2022,Thursday,February,12
Leroi Heikkinen,21/04/2012,21/04/2022,Thursday,April,11
Kamila Blakes,29/06/2014,29/06/2022,Wednesday,June,15
Vincent Seedull,12/01/2012,12/01/2022,Wednesday,January,14
Remy La Torre,23/04/2013,23/04/2022,Friday,April,56
Brig Lawty,28/03/2015,28/03/2022,Monday,March,8
Kassie Darben,10/02/2014,10/02/2022,Thursday,February,12
Barnie Drees,25/04/2013,25/04/2022,Monday,April,10
Leslie Pezey,02/08/2013,02/08/2022,Tuesday,August,15
Ted Gobel,29/05/2014,29/05/2022,Friday,May,30
Noach Pagen,11/11/2013,11/11/2022,Friday,November,39
Elita Taggert,08/11/2012,08/11/2022,Tuesday,November,12
Tony Roches,03/07/2013,03/07/2022,Friday,July,49
Phelia Wines,07/12/2011,07/12/2022,Wednesday,December,9
Kris Boarer,04/02/2013,04/02/2022,Friday,February,31
Courtnay Fearey,30/01/2012,30/01/2022,Friday,January,30
Bartie Pedrazzi,08/01/2014,08/01/2022,Friday,January,30
Pincas Sogg,19/08/2015,19/08/2022,Friday,August,24
Delainey Rand,10/03/2012,10/03/2022,Thursday,March,19
Alvy Fleis,28/10/2012,28/10/2022,Friday,October,27
Chrotoem Thominga,20/07/2014,20/07/2022,Wednesday,July,19
Ebeneser Gobel,10/05/2012,10/05/2022,Tuesday,May,15
Orelee Perillio,19/02/2014,19/02/2022,Friday,February,31
Carmelita Wiffen,11/09/2011,11/09/2022,Friday,September,41
Dion Grimestone,16/09/2011,16/09/2022,Friday,September,41
Terry Sloey,29/03/2013,29/03/2022,Tuesday,March,13
Reube Pallaske,04/08/2015,04/08/2022,Thursday,August,10
Ossie Woodard,12/01/2012,12/01/2022,Wednesday,January,14
Olly Navarijo,08/09/2012,08/09/2022,Thursday,September,14
Maybelle Shackesby,30/04/2015,30/04/2022,Friday,April,56
Seumas Plum,28/04/2013,28/04/2022,Thursday,April,11
Burl Glassborow,31/07/2015,31/07/2022,Friday,July,49
Farra Laidler,29/03/2015,29/03/2022,Tuesday,March,13
Olwen Callicott,01/02/2013,01/02/2022,Tuesday,February,13
Zoe Djorvic,04/04/2013,04/04/2022,Monday,April,10
Tonye Faudrie,01/04/2012,01/04/2022,Friday,April,56
Jody Alvin,15/05/2013,15/05/2022,Friday,May,30
Brandie Feuell,10/05/2015,10/05/2022,Tuesday,May,15
Mic Stonard,12/07/2013,12/07/2022,Tuesday,July,12
Jilli Kevane,11/11/2011,11/11/2022,Friday,November,39
Jessie Fforde,05/06/2014,05/06/2022,Friday,June,30
Eleonora Manntschke,12/12/2014,12/12/2022,Monday,December,20
Westley Bergin,30/12/2012,30/12/2022,Friday,December,48
Thelma Carabine,14/06/2014,14/06/2022,Tuesday,June,11
Nannie Ferebee,11/03/2015,11/03/2022,Friday,March,31
Sib Klink,07/12/2014,07/12/2022,Wednesday,December,9
Keely Skellion,24/07/2015,24/07/2022,Friday,July,49
Erinna Rosthorn,14/06/2013,14/06/2022,Tuesday,June,11
Elvin Lewinton,10/09/2013,10/09/2022,Friday,September,41
Rosana Zoellner,19/05/2014,19/05/2022,Thursday,May,12
Elaine Blackborough,31/07/2013,31/07/2022,Friday,July,49
Roddie Ovett,10/07/2013,10/07/2022,Friday,July,49
Ninnetta Galia,01/04/2013,01/04/2022,Friday,April,56
Casandra Norewood,24/11/2014,24/11/2022,Thursday,November,13
Pen Haney`,25/12/2011,25/12/2022,Friday,December,48
Brigg Mendel,20/02/2015,20/02/2022,Friday,February,31
Susana Cookney,17/03/2012,17/03/2022,Thursday,March,19
Codi Widger,04/07/2014,04/07/2022,Monday,July,11
Sonny Finlason,26/11/2014,26/11/2022,Friday,November,39
Felike Whardley,18/07/2014,18/07/2022,Monday,July,11
Aileen Overill,26/06/2012,26/06/2022,Friday,June,30
Rayna Hobble,02/01/2014,02/01/2022,Friday,December,48
Dela Corradeschi,04/10/2014,04/10/2022,Tuesday,October,9
Temple Arnald,15/11/2013,15/11/2022,Tuesday,November,12
Corey Garnsworthy,12/01/2012,12/01/2022,Wednesday,January,14
Lyssa Skotcher,03/03/2013,03/03/2022,Thursday,March,19
Farra Congreave,20/06/2014,20/06/2022,Monday,June,9
Chanda Hartle,23/08/2014,23/08/2022,Tuesday,August,15
Emmott Pressman,02/11/2012,02/11/2022,Wednesday,November,17
Alvera Roussel,22/05/2013,22/05/2022,Friday,May,30
Korney Pennington,24/08/2013,24/08/2022,Wednesday,August,10
Travus Rousby,20/09/2011,20/09/2022,Tuesday,September,12
Wakefield Pleaden,21/02/2014,21/02/2022,Monday,February,12
Amy Pirrie,06/11/2013,06/11/2022,Friday,November,39
Barn Poyntz,22/06/2015,22/06/2022,Wednesday,June,15
Heindrick Okie,06/05/2014,06/05/2022,Friday,May,30
Gan Thulborn,18/12/2011,18/12/2022,Friday,December,48
Delphinia Wallach,12/06/2015,12/06/2022,Friday,June,30
Harlin Hallad,28/11/2012,28/11/2022,Monday,November,11
Ida Side,22/04/2015,22/04/2022,Friday,April,56
Lia Cavilla,06/04/2015,06/04/2022,Wednesday,April,12
Tammie Bevans,17/12/2012,17/12/2022,Friday,December,48
Towney Genny,26/10/2011,26/10/2022,Wednesday,October,13
Darsie Midson,10/07/2015,10/07/2022,Friday,July,49
Bobbee Timeby,12/10/2014,12/10/2022,Wednesday,October,13
Giacinta Pardal,28/05/2012,28/05/2022,Friday,May,30
Justinian McCrossan,25/01/2015,25/01/2022,Tuesday,January,12
Maxine Peizer,06/10/2013,06/10/2022,Thursday,October,14
Claudell Oloshin,25/12/2011,25/12/2022,Friday,December,48
Risa Marc,31/07/2013,31/07/2022,Friday,July,49
Leontine Kowalski,31/12/2011,31/12/2022,Friday,December,48
Yasmin Lindsell,28/09/2012,28/09/2022,Wednesday,September,7
Carlyle Bestwick,08/08/2013,08/08/2022,Monday,August,12
Arnold Emps,22/06/2013,22/06/2022,Wednesday,June,15
Cassandry Trevaskus,05/01/2015,05/01/2022,Wednesday,January,14
Julianna Whitlock,25/02/2014,25/02/2022,Friday,February,31
Meryl Grzelewski,04/06/2012,04/06/2022,Friday,June,30
Louella Ketch,17/08/2015,17/08/2022,Wednesday,August,10
Meredith Dreng,12/09/2011,12/09/2022,Monday,September,7
Brana Bridgstock,04/01/2015,04/01/2022,Tuesday,January,12
Efrem Roswarne,21/10/2014,21/10/2022,Friday,October,27
Catrina Hannabuss,12/03/2012,12/03/2022,Friday,March,31
Ainslie Swansbury,03/10/2012,03/10/2022,Monday,October,14
Jerry Archard,09/03/2013,09/03/2022,Wednesday,March,6
Cly Chevis,19/12/2012,19/12/2022,Monday,December,20
Tarrance Alves,24/12/2013,24/12/2022,Friday,December,48
Geneva Bakesef,05/12/2014,05/12/2022,Monday,December,20
Rosaline Youel,19/03/2013,19/03/2022,Friday,March,31
Livvyy Cessford,23/06/2014,23/06/2022,Thursday,June,12
Deirdre Maharey,17/07/2015,17/07/2022,Friday,July,49
Dyan Heckney,02/05/2014,02/05/2022,Monday,May,7
Alika Bunclark,09/11/2014,09/11/2022,Wednesday,November,17
Daryle Flewitt,11/09/2012,11/09/2022,Friday,September,41
Clovis Okeshott,01/02/2015,01/02/2022,Tuesday,February,13
Gratia Shory,02/04/2015,02/04/2022,Friday,April,56
Alane Beidebeke,22/11/2012,22/11/2022,Tuesday,November,12
Bridie Hembery,26/05/2013,26/05/2022,Thursday,May,12
Hannis Loughran,02/02/2013,02/02/2022,Wednesday,February,8
Gwen Glowinski,04/03/2012,04/03/2022,Friday,March,31
Henrie Wrightson,01/12/2014,01/12/2022,Thursday,December,20
Ludwig Raine,18/02/2014,18/02/2022,Friday,February,31
Hamel Pie,24/12/2013,24/12/2022,Friday,December,48
Tamma Sergison,19/06/2012,19/06/2022,Friday,June,30
Ninetta Worling,15/02/2015,15/02/2022,Tuesday,February,13
Stanford Tinton,09/04/2013,09/04/2022,Friday,April,56
Ertha MacCook,14/12/2013,14/12/2022,Wednesday,December,9
Lawton Randles,12/12/2011,12/12/2022,Monday,December,20
Engracia Pashbee,23/09/2013,23/09/2022,Friday,September,41
