Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Dewain Wogdon,2014-10-10,2021-10-10,October,Friday,35
Merrily Altamirano,2013-03-18,2022-03-18,March,Friday,31
Bartholemy Rattrie,2013-02-24,2022-02-24,February,Thursday,12
Leroi Heikkinen,2012-04-21,2022-04-21,April,Thursday,11
Kamila Blakes,2014-06-29,2022-06-29,June,Wednesday,15
Vincent Seedull,2012-01-12,2022-01-12,January,Wednesday,14
Remy La Torre,2013-04-23,2022-04-23,April,Friday,55
Brig Lawty,2015-03-28,2022-03-28,March,Monday,8
Kassie Darben,2014-02-10,2022-02-10,February,Thursday,12
Barnie Drees,2013-04-25,2022-04-25,April,Monday,10
Leslie Pezey,2013-08-02,2022-08-02,August,Tuesday,15
Ted Gobel,2014-05-29,2022-05-29,May,Friday,31
Noach Pagen,2013-11-11,2021-11-11,November,Thursday,12
Elita Taggert,2012-11-08,2021-11-08,November,Monday,12
Tony Roches,2013-07-03,2022-07-03,July,Friday,49
Phelia Wines,2011-12-07,2021-12-07,December,Tuesday,9
Kris Boarer,2013-02-04,2022-02-04,February,Friday,31
Courtnay Fearey,2012-01-30,2022-01-30,January,Friday,33
Bartie Pedrazzi,2014-01-08,2022-01-08,January,Friday,33
Pincas Sogg,2015-08-19,2022-08-19,August,Friday,24
Delainey Rand,2012-03-10,2022-03-10,March,Thursday,19
Alvy Fleis,2012-10-28,2021-10-28,October,Thursday,11
Chrotoem Thominga,2014-07-20,2022-07-20,July,Wednesday,19
Ebeneser Gobel,2012-05-10,2022-05-10,May,Tuesday,15
Orelee Perillio,2014-02-19,2022-02-19,February,Friday,31
Carmelita Wiffen,2011-09-11,2021-09-11,September,Friday,29
Dion Grimestone,2011-09-16,2021-09-16,September,Thursday,14
Terry Sloey,2013-03-29,2022-03-29,March,Tuesday,13
Reube Pallaske,2015-08-04,2022-08-04,August,Thursday,10
Ossie Woodard,2012-01-12,2022-01-12,January,Wednesday,14
Olly Navarijo,2012-09-08,2021-09-08,September,Wednesday,14
Maybelle Shackesby,2015-04-30,2022-04-30,April,Friday,55
Seumas Plum,2013-04-28,2022-04-28,April,Thursday,11
Burl Glassborow,2015-07-31,2022-07-31,July,Friday,49
Farra Laidler,2015-03-29,2022-03-29,March,Tuesday,13
Olwen Callicott,2013-02-01,2022-02-01,February,Tuesday,13
Zoe Djorvic,2013-04-04,2022-04-04,April,Monday,10
Tonye Faudrie,2012-04-01,2022-04-01,April,Friday,55
Jody Alvin,2013-05-15,2022-05-15,May,Friday,31
Brandie Feuell,2015-05-10,2022-05-10,May,Tuesday,15
Mic Stonard,2013-07-12,2022-07-12,July,Tuesday,12
Jilli Kevane,2011-11-11,2021-11-11,November,Thursday,12
Jessie Fforde,2014-06-05,2022-06-05,June,Friday,30
Eleonora Manntschke,2014-12-12,2021-12-12,December,Friday,51
Westley Bergin,2012-12-30,2021-12-30,December,Thursday,14
Thelma Carabine,2014-06-14,2022-06-14,June,Tuesday,11
Nannie Ferebee,2015-03-11,2022-03-11,March,Friday,31
Sib Klink,2014-12-07,2021-12-07,December,Tuesday,9
Keely Skellion,2015-07-24,2022-07-24,July,Friday,49
Erinna Rosthorn,2013-06-14,2022-06-14,June,Tuesday,11
Elvin Lewinton,2013-09-10,2021-09-10,September,Friday,29
Rosana Zoellner,2014-05-19,2022-05-19,May,Thursday,12
Elaine Blackborough,2013-07-31,2022-07-31,July,Friday,49
Roddie Ovett,2013-07-10,2022-07-10,July,Friday,49
Ninnetta Galia,2013-04-01,2022-04-01,April,Friday,55
Casandra Norewood,2014-11-24,2021-11-24,November,Wednesday,13
Pen Haney`,2011-12-25,2021-12-25,December,Friday,51
Brigg Mendel,2015-02-20,2022-02-20,February,Friday,31
Susana Cookney,2012-03-17,2022-03-17,March,Thursday,19
Codi Widger,2014-07-04,2022-07-04,July,Monday,11
Sonny Finlason,2014-11-26,2021-11-26,November,Friday,38
Felike Whardley,2014-07-18,2022-07-18,July,Monday,11
Aileen Overill,2012-06-26,2022-06-26,June,Friday,30
Rayna Hobble,2014-01-02,2022-01-02,January,Friday,33
Dela Corradeschi,2014-10-04,2021-10-04,October,Monday,9
Temple Arnald,2013-11-15,2021-11-15,November,Monday,12
Corey Garnsworthy,2012-01-12,2022-01-12,January,Wednesday,14
Lyssa Skotcher,2013-03-03,2022-03-03,March,Thursday,19
Farra Congreave,2014-06-20,2022-06-20,June,Monday,9
Chanda Hartle,2014-08-23,2022-08-23,August,Tuesday,15
Emmott Pressman,2012-11-02,2021-11-02,November,Tuesday,17
Alvera Roussel,2013-05-22,2022-05-22,May,Friday,31
Korney Pennington,2013-08-24,2022-08-24,August,Wednesday,10
Travus Rousby,2011-09-20,2021-09-20,September,Monday,12
Wakefield Pleaden,2014-02-21,2022-02-21,February,Monday,12
Amy Pirrie,2013-11-06,2021-11-06,November,Friday,38
Barn Poyntz,2015-06-22,2022-06-22,June,Wednesday,15
Heindrick Okie,2014-05-06,2022-05-06,May,Friday,31
Gan Thulborn,2011-12-18,2021-12-18,December,Friday,51
Delphinia Wallach,2015-06-12,2022-06-12,June,Friday,30
Harlin Hallad,2012-11-28,2021-11-28,November,Friday,38
Ida Side,2015-04-22,2022-04-22,April,Friday,55
Lia Cavilla,2015-04-06,2022-04-06,April,Wednesday,12
Tammie Bevans,2012-12-17,2021-12-17,December,Friday,51
Towney Genny,2011-10-26,2021-10-26,October,Tuesday,13
Darsie Midson,2015-07-10,2022-07-10,July,Friday,49
Bobbee Timeby,2014-10-12,2021-10-12,October,Tuesday,13
Giacinta Pardal,2012-05-28,2022-05-28,May,Friday,31
Justinian McCrossan,2015-01-25,2022-01-25,January,Tuesday,12
Maxine Peizer,2013-10-06,2021-10-06,October,Wednesday,14
Claudell Oloshin,2011-12-25,2021-12-25,December,Friday,51
Risa Marc,2013-07-31,2022-07-31,July,Friday,49
Leontine Kowalski,2011-12-31,2021-12-31,December,Friday,51
Yasmin Lindsell,2012-09-28,2021-09-28,September,Tuesday,7
Carlyle Bestwick,2013-08-08,2022-08-08,August,Monday,12
Arnold Emps,2013-06-22,2022-06-22,June,Wednesday,15
Cassandry Trevaskus,2015-01-05,2022-01-05,January,Wednesday,14
Julianna Whitlock,2014-02-25,2022-02-25,February,Friday,31
Meryl Grzelewski,2012-06-04,2022-06-04,June,Friday,30
Louella Ketch,2015-08-17,2022-08-17,August,Wednesday,10
Meredith Dreng,2011-09-12,2021-09-12,September,Friday,29
Brana Bridgstock,2015-01-04,2022-01-04,January,Tuesday,12
Efrem Roswarne,2014-10-21,2021-10-21,October,Thursday,11
Catrina Hannabuss,2012-03-12,2022-03-12,March,Friday,31
Ainslie Swansbury,2012-10-03,2021-10-03,October,Friday,35
Jerry Archard,2013-03-09,2022-03-09,March,Wednesday,6
Cly Chevis,2012-12-19,2021-12-19,December,Friday,51
Tarrance Alves,2013-12-24,2021-12-24,December,Friday,51
Geneva Bakesef,2014-12-05,2021-12-05,December,Friday,51
Rosaline Youel,2013-03-19,2022-03-19,March,Friday,31
Livvyy Cessford,2014-06-23,2022-06-23,June,Thursday,12
Deirdre Maharey,2015-07-17,2022-07-17,July,Friday,49
Dyan Heckney,2014-05-02,2022-05-02,May,Monday,7
Alika Bunclark,2014-11-09,2021-11-09,November,Tuesday,17
Daryle Flewitt,2012-09-11,2021-09-11,September,Friday,29
Clovis Okeshott,2015-02-01,2022-02-01,February,Tuesday,13
Gratia Shory,2015-04-02,2022-04-02,April,Friday,55
Alane Beidebeke,2012-11-22,2021-11-22,November,Monday,12
Bridie Hembery,2013-05-26,2022-05-26,May,Thursday,12
Hannis Loughran,2013-02-02,2022-02-02,February,Wednesday,8
Gwen Glowinski,2012-03-04,2022-03-04,March,Friday,31
Henrie Wrightson,2014-12-01,2021-12-01,December,Wednesday,20
Ludwig Raine,2014-02-18,2022-02-18,February,Friday,31
Hamel Pie,2013-12-24,2021-12-24,December,Friday,51
Tamma Sergison,2012-06-19,2022-06-19,June,Friday,30
Ninetta Worling,2015-02-15,2022-02-15,February,Tuesday,13
Stanford Tinton,2013-04-09,2022-04-09,April,Friday,55
Ertha MacCook,2013-12-14,2021-12-14,December,Tuesday,9
Lawton Randles,2011-12-12,2021-12-12,December,Friday,51
Engracia Pashbee,2013-09-23,2021-09-23,September,Thursday,14
